iter	Passed	Remaining
0	0	52
1	1	47
2	1	43
3	2	41
4	3	39
5	3	38
6	4	37
7	4	35
8	5	35
9	5	34
10	6	33
11	6	32
12	7	32
13	8	32
14	8	31
15	9	30
16	9	30
17	10	29
18	10	28
19	11	28
20	12	27
21	12	27
22	13	26
23	13	26
24	14	25
25	15	25
26	16	25
27	17	25
28	17	24
29	18	24
30	19	23
31	19	22
32	20	22
33	21	22
34	22	21
35	23	21
36	23	20
37	24	20
38	25	19
39	26	19
40	27	18
41	28	18
42	28	17
43	29	16
44	30	16
45	31	15
46	32	15
47	32	14
48	33	13
49	34	13
50	35	12
51	35	11
52	36	11
53	37	10
54	38	9
55	39	9
56	39	8
57	40	7
58	41	7
59	42	6
60	42	5
61	43	4
62	44	4
63	44	3
64	45	2
65	46	2
66	46	1
67	47	0
68	48	0
